Classification, Text
positive, big thanks to yvonne anthony from the chairman s desk top tier customer service today #outstanding
negative, now the plane is degrees and we are burning up this is completely illegal 
negative, are you fucking kidding me
negative, now siting on tarmac in philly for another minutes this is so lame sorry doesn t help this is terrible 
negative, what is the damn delay 
negative, it would be nice to just pull up to the gate still sitting here
negative, app is the worst one for airlines can t do anything once your original flight time has gone by useless 
negative, has completely wasted my work day thank you for the bad service and bad friday 
negative, and alsoit s great that you tweet @ complainersbut what about the in person help when i need it robyn f in manch = useless 
negative, you ll be receiving a longdetailed complaint letter soon long story short never flying usair again 
negative, thanks for making miss connectiongetting rebookedmissing that tooand a miserable day started my day @ am for nothing 
negative, need to learn operations sit a plane overnight at #gspand not realize there s a mech problem then delay flighthours 
negative, that the flight was delayedclosed the doors only to tell us we would not be leaving for an hour and a half badbad service 
negative, why would you not give us the option to get off the plane instead of sit on it for an hour and a half when you knew at the gate
negative, he overflowed over the armrest and under with legs sprawled you should refund me i had no choice #grossedout
positive, i appreciate your prompt response 
negative, nothing was available male flight crew was not nice dismissive big guy was standby and probably didn t even pay for choice
negative, well we should have been told that before we were sitting on the plane for an hour to have the option of not getting on 
negative, i did not want to hang out on your plane all day when i am traveling to get work done and turn right back around unacceptable
negative, doesn t seem likely bc your team failed to scan my bag in lax and you recycle bagtag numbers that doesn t help #usairwaysfail
negative, this is a complete waste of my day a trip to my for work has now turned into sitting on your planes all day ridiculous
negative, we should have been given the option to get off the plane not sit on it for a time longer than our actually flight 
negative, the plane is moving and it s no ice we are moving to the end of the runway to sit because lga has one runway open 
neutral, of course weather was a joke beats degrees in phl 
negative, nothing was available male flight crew was not nice dismissive big guy was standby and probably didn t even pay 
negative, is setting themselves up for a lawsuit no way we should sit on a plane for an hour and a half 
positive, thks us # phl to fll overallclass has improved with more food now on phl to fll and most crews are super 
negative, i want to not sit on a plane from dca to lga for an hour and a half which is longer than my flight 
negative, this is so unacceptable i m going for the day now most of my day will be sitting on your plane not to mention there is no air
negative, is moving the plane to the end of the runway for us to sit on it for an hour and a half they didn t even let us off 
negative, hi is there somebody avail who can help with an refund its unbelievable on the phone w us for more than hrs in days
negative, plus a us airways you need to do something about this i left philly to thaw out
negative, ordered a scotchwater and f a asked if i wanted full glass or half yrs old and first time ever asked that 
negative, yeahthe mark was like a mile back also we re an hour late flight so thanks a ton for the great service today 
negative, we got drink then f a sat in jump seat doing crosswords glasses picked up at landing just a very lazy service first class 
negative, paid for a choice seat my choice is to not have big man next to me in my seattoo #oldseatnocushion #worstflight #nohelponboard 
negative, first class no snack basket was catered so drinks only no preflight drink or coathangingdrink service min after take off
negative, you told us last night that there was a ground stop at o hare four hours after obama landedstop blaming someone else 
negative, # delayed due to #frozentoilet #medicalissue #mechanicalissue #dispatchissue we ve heard it all #letsgo
negative, able does that mean not having private conversations and not helping those wluggage that won t fit overhead 
neutral, trying to make a connection to punta cana leave phl at 
negative, is the worst minute delay in boston not weather relate flightd going to miss our connecting flight gassing up the plane issue 
negative, is the worst still haven t left everyone missing connections 
negative, today s flight to philadelphia it s a little disappointing for the unnecessary delays and it s not even snowing in fl 
negative, i have been trying to book a flight using my miles for straight days min on phone still haven t talked to a human 
neutral, can you help me reroute my trip 
negative, gonna miss connecting flight delayed flying out of boston
neutral, i m in the #finalstretch to #chairman #execplat #mileagerun fork needed any suggestions #letsgo 
negative, on flight waiting for weight and balance info for the past minutes 
positive, thank you for refunding me on my baggage really appreciate it
negative, thanks for taking my flight off the board and not providing and updates about my flight which is minutes late flight 
positive, i am so going to miss us airways you always provided great service and never let me down 
negative, never again worse experience in my life
negative, i rebooked myself but cancelled flighting flight because crew expired after boarding is unacceptable you started delaying at pm 
negative, hrs stranded in dca zero apologies and the worst customer service been a faithful traveler for yearsbut no more 
negative, this response doesn t correct the fact that your pilot failed to keep passengers updated
negative, been at dca at pm still here at am due to mechanical issues and lack of snacks on the plane absolutely worse experience 
negative, it was almost hours late flight due to mechanical 
negative, never flying #usairways again horrible experienceterrible customer service 
neutral, mobile boarding pass email 
positive, we will sunday just a few days away
neutral, i am following you now
negative, unacceptable you knew the pilot wouldn t be able to complete the trip wasted all of our time 
negative, i have been on three planes for flight and still haven t left the ground bad service #sad
negative, then told to offload because the captain was over hours this has been a terrible experience 
negative, why were we loaded onto the plane hours late flightmind you made to sit for minutes 
negative, why load us on the flight if the captain was over the hours he could fly in one consecutive period unacceptable 
negative, offloading the plane this is ridiculous 
positive, @jdbwaffles we re excited to have you fly with usjb when will this be spring break 
neutral, still just sitting here nobody has said anything what s up 
negative, that is actually not true you can get a seat online after a big hassle that policy is totally dishonest and misleading #faa
positive, i will thank you for at least tweeting me back better than most 
negative, that seems unlikely without a crew here to board us
negative, that s incorrect four peoplelast flight of the nightwith our bags #horriblecustomerservice 
positive, exicted to be flying with y all soon 
neutral, and that you can choose the same seat for free after clicking buttons 
negative, the fact that you are making customers pay to choose a seat and try to convince them using psychological tricks with colors 
negative, ill do that in addition to reviewing on my blog your agents were pleasant but the experience was less than
negative, your new seat assignment service is an embarrassment to airlines and customers worldwide #shameonyou #usairwayssucks
negative, worst experience ever with you guyssee my blog tomorrow on my experience maybe you can help make it better 
negative, now the freezing bus is just doing circles 
negative, please explaini have plenty of time since i m stranded 
negative, i doubt thatits pwe r still being held captive on the ground at dca a little communication from up front would b nice 
negative, why does it cost to change a ticket when it only cost to purchase a new ticket 
negative, sitting on a freezing bus because nobody is in the plane what is up 
negative, we already spoke to someone several times about the matter and no one is sympathetic or will fly us home early complimentary 
negative, doesn t want me to get home
negative, they don t stand alone for mei bought tix based on usair confirmed flight what good is confirmation if you change it anyway 
negative, dca hpnu r prof hostage takers we stood on bus plane for min now sitting on plane with no mvmtannouncementhour 
negative, i bet you don tbut i m the paying customer here i know how to check for flight delaysthank you 
negative, i can t even use my return flight home because the change fees you charge are too expensiveforcing me to purchase a new ticket 
negative, oh great after a hour delay we get to sit on the plane for another hour without it moving flight has been awful
negative, that s thesorry i received from your company the least you could do is fly us home early at no extra charge 
negative, never flying with you guys again extremely disorganized and too many delays 
negative, my buddies are currently delayed hours and counting in dca on their ways to cae for a golf weekany compensation 
negative, flights was the delayflight was my missed connection help 
negative, the flight that i did not connect to was 
negative, even when i do simple google search by flight number it tells me which gate so won t be that difficult am sure 
negative, yes not sure how you guys don t know gate is occupied and keep us waiting
negative, wow your miles program is ripoff quick ticket fee i hope you all end up on unemployment 
negative, bos dca delayed again this needs to stop i will be filing complaints with the faa and consumer affairs
negative, sitting on the tarmac waiting to deplane minutes the level of service i ve come to expect 
negative, you gladly take the loyal customer s money but when you cause an inconvenience you do nothing to help fix the problem you caused 
negative, the least you could do is make up for what you have caused you are ruining people s memories you should be ashamed 
negative, a late flight planethen missing flight crewthen maintenance problemsgates switched times you call this customer service 
negative, due to your expensive change fees either out of all the airlineswe chose yoursall do you could screw us stranded no help 
negative, we can t afford the international change fees to rebook our trip so we wanted to go hometurns out we can t afford to go home 
neutral, but it s not their faultbecause their policy says they at least got us to our destination really 
negative, ruined our honeymoon by causing us to miss our international flightand now we are stranded 
positive, fa attendant on phl to pwm tonight was fab an asset to your team fromf have a great night team 
negative, thanks for overflight booking problems first class and automatically downgrading my upgrade min before boarding #ffstatusdontmatter #thenewaa
positive, we re having grandbabies in weekswill travel to dc for the births thank you for the reasonable fares see you saturday 
positive, thank youyour fare to from dtw to dca was much lower thanand thank you you won me over 
negative, flight from phl to london has been sitting on the tarmac for min w no further update from the pilot what gives 
negative, i already havefour times 
negative, minutes holding seriouslyif your average wait time is over minutes then maybejust maybeyou re understaffed 
negative, i submitted refund request b flight days ago is that all i need do 
positive, i know thatthanks evaluate furtherchairman 
negative, seriously i have shared my concerns four times alreadyto no avail geeeeezzzzz flyer 
negative, no hot food on a hour flight crazy couldn t eat in phl b c our original connection was min late flight what gives #phltolas
negative, seriouslyflight delay cinci to philly due to new ground staffmiss connection to man uk and now have to argue for hotel wtf 
negative, thank you for continuing to be the worst airline out didn t need that extra hour of sleep after hours of travel anyway
negative, i guess they only respond to compliments sorrycan t think@of even one 
negative, #usairways disappoints again #cancelled flighted flights #missed appointments #promised refund is a lie
negative, minutes on hold waiting to speak with an agent come on #usairways ridiculous #baggagelost #usairways
negative, unable to locate baggagethis is frustrating all my sons clothes and needs in it #zfv #yyz #usairways #baggagelost 
negative, i already did my question iswhy does it still say in progress on @askpaypal it s been days 
negative, are you kidding me bad customer servicefolks flew from psp to phx flight on cont 
positive, thanks for getting me rescheduled on a direct flight to nola tonight in minutesand hopefully an hour earlier getting there 
negative, problem with flight in gainesville us airways to clt will miss connecting flight to iad when can i get another flight
negative, still no rep can talk days late flightr u r asking me to checkin to my flight tmrw and my refund is being requested deal w this 
negative, flight has been waiting for minutes at rsw waiting for weight balance clearance come onlet us leave 
negative, @askpaypal when will it be marked completed i m scared i m going to lose my reservation or my money is going to be refunded 
negative, @askpaypal completed if that s the case then why does it still say in progress on paypal s website i reserved on the
neutral, @askpaypal so i contacted my bank they took the money out today i also contacted they said my reservation is
negative, appreciate the calls when flight s delayedbut the recorded msg is tediousjust goes onon i vote for texts if practical
negative, horrible communication on delayed flight out of lga i got emails in seconds w different delay times horrible
positive, thank you finally got our bag customer services reps were wonderful 
neutral, have a pm flight out of phl sat snow expected are we able to switch to an earlier flight without penalty 
neutral, we got our bags today thanks 
negative, min hold time then a hang up by manager mike in dividend miles dept tough to justify sticking with the us air cc and status 
negative, never fails to disappoint 
negative, platinum flyer bought tkt in aa also both accounts are linked so why can t i check in for flight tomorrow 
negative, your person taking tickets is rude and now we are delayed minutes because you overfilled fuel on the plane # 
negative, flight out of seattle has lbs too much fuel and no water for the lavoratories nice job guys est min behind now 
positive, flight phxord lead fa bill is the most professional fa i have seen in years of flying usair i have no ab cards 
positive, i miss you too work has taken me out of philly ive been on flight from bos — phl so many times i should have a res seat
neutral, vuelo esvuelos es sell too cheap mad nyc with usairways are they trusted webs or is it a scam 
negative, total lack of cust service for a mom flying solo w baby will not be flying w am air again 
negative, pure anarchy on flight to slc people walking in with nothing packed in bags with arms full of stuff #getittogether
negative, you know hockey sticks are expensive your baggage handlers shouldn t just be throwing them on the cart 
positive, no problem things worked out at airport thanks 
neutral, any word on whether or not flight from seattle to charlotte will have connections held or 
neutral, please change direct flights from ric to jfk instead of lga pleeeeease lga is the pits 
negative, i tried it but doesnt help very much and reservation seems to be overwhelmed with some issues
negative, should take a lesson from and wait for passengers from connecting flights shame 
neutral, do you have a phone nbr for refund dept 
neutral, do you post travel alerts on your website traveling to bdl on sunday morning 
positive, yesit s a domestic flight thank you 
neutral, can i bring a copy or photo of my baby s birth certificate for the flight i feel uncomfortable traveling with the real thing 
neutral, would like to see you do similar in phl
positive, thanks made it safely
negative, they say connections are good still but another reflight booking problems is the last thing i need today
negative, tells me to talk to about my delayed flights aa tells me to talk to us #ihatemergers
negative, what is the holdup should i be looking for another flight 
negative, this is going to take up to an hournot okay usair not okay this is ruining everything 
negative, delayed further 
negative, min hung up always awful having to call reservations there 
negative, i guess from now on i should take my chanceskeep the for the courtesy free because it seems cabin is always full 
negative, hours late flightr and i lost my conection 
neutral, just heard #monterey airport was closed due to thick fogany updates 
negative, over min hold on your reservation line embarrassing aa platinum member 
positive, love the changes in the lounge cheeseveggiesolives in addition to the crackers and snack mix
positive, thanks if you have another method also that would be nice appears to be a design flaw
negative, yes every one of these on every flight is like this there needs to be more velcro or something
negative, please secure the footrest shelf in business class on a airplanes
negative, forgetting to fuel up realizing there was more cargo to add to plane one way to try and mask a delay 
negative, your gate team are polite but your planes are habitually late flight in many casespassengers are waiting for the flight crew 
negative, fuk u us airways with yo shitty chicken salad sandwich that so overpriced and u fuking make me wait in a hr layover fuk u and
negative, for that uncertainty i know u run an account u don t create policy but it s an undue penalty for a job req ing flexibility
neutral, is there anyway to get rebook in help on twitter 
negative, why are you letting us go to the runway if there are mechanical problems #wewantcomps
negative, wtf is going on with the from dc to bos twice we go back back to the gate after leaving for the runway total bs 
negative, not moving we are in the tarmac delayed for some unknown reason i ll keep you posted
negative, i keep missing my updated connections need to make it to #jax to be in my friend s wedding #strandedattheairport
negative, how are you guys losing luggage when it was suppose to be on the same flight i was on highly disappointed no meds no clothes
neutral, wanted to connect to discuss sponsorship opportunities withsilicon valleys only day film festival 
negative, @garywerk poor excuse i was towards front of planeno sandwicheswe have to pay for themshould have more 
negative, i m not patient i m annoyed if you can t book this travel onlinethen you shouldn t make people wait on the phone 
neutral, us airways csr at phoenix airport fixed the problem
negative, still in yuma waiting for to go looks like i might miss to montereyregionalairport need options please
negative, @alan_bledsoe thanks for your feedbackalan thxbut no help as i watch a flt lve w open seats and i waithrs for nxt flt 
neutral, i don t think the us site allows that unlike can i use a us credit if i held on 
positive, lol me too
negative, still waiting on a response
negative, who do i call to use credit fm prev cxl tix that can t be rebooked online rep i called quoted mek higher than the website 
negative, so basically i am stuck paying for hidden fees and being bumped to an inferior flight jetblue here i come #usairways #mergers
neutral, how will i change it 
negative, oh the irony a dog who will not spot barking in waiting area is now right in front of me please send me a cocktail coupon stat
neutral, when is us air switching to aa ios app aa app is much better 
neutral, a change is ok most of the time but if there r open seats on earlier flt and no chkd bagwhy not let someone fly standby 
positive, thanks to the gate agent in state collegepa that was able to get me on an earlier flight and figure out an earlier connection 
positive, i just think it s weird to have mileage as 
neutral, flight clt to bos
negative, some of my kids are anxious husband and i can t sit with all with current setup no warning that our seats changed 
negative, but you guys switched me and didn t inform me of the chathes
negative, worst airline ever left without luggage for dayssubmit expenses and they offer a refund of 
negative, your app is badand you should feel bad 
negative, still irritated that our well planned and booked return was messed withwith no warning 
neutral, is companion ticket benefit of premier world mastercard still limited to usairways flights or do aa now qualify as well 
negative, is probably losing a family of world travelers as customers due to broken processes i hope you can fix it
neutral, only for one flightthough theleg my kids are sitting scattered about the aircraft 
negative, yes thanks i have never seen anything like this and i come to yuma all the timebig disappointment there are still waiting 
negative, you will be hearing a lot more from me instead of your feedback when i get back home 
negative, has the most ass backwards process for using credits on flights even trying to get a hold of customer relations is impossible
negative, will you be destroying lives in eastern @gastoncounty during this lively little event for profits you will 
negative, hour cross country morning flight and you have no food 
neutral, been with us airways since back and forth gatwick charlottethen lhr bit sad nostalgic way 
negative, understood and i am sympathetic how do i get my back i shouldn t have to pay especially if you switched my flight 
negative, we bought our tickets months ago had seats together for all haven t changed flight now kids seats are scattered on plane 
negative, person to check in people and the plane boards in minutes and he is telling people exec bene s not honored
neutral, no problem just funny have a nice day
neutral, yes travel is complete flight from clt to cak feb 
negative, cancelled flightled due to maintenance the plane was there for hours get your shit together because there are a lot of people unhappy 
negative, a year and every time with us air something happens i sat waiting for a re scheduled flight for hours then to say its
negative, was switched to an american airlines flightnot by choiceand now i am charged for bags thought y all merged 
negative, my flight cost me just under and this is what happens i fly with and have no problems i come the us times 
neutral, @obj_even airlines are scheming to get a follow from obj lmaooo 
negative, no i got to philly on monday and got to my final destination south carolina on wednesday its not acceptable 
negative, over an hour now and still no one at the yuma counter
neutral, can youmeadd me to the upgrade list for a flt tonight 
negative, now you have over people in line this is stupid what the heck 
negative, some people in line have been waiting minutes for a customer service representative
negative, i feel sorry for aa
negative, there has been no one at the yuma ticket counter for minutes and there are about people in line terrible service 
neutral, reminder from well be tweeting fromi lookward to that follow back too 
negative, what an amazing day delayed hrs bc frozen h o on plane now sitting @ gate on same plane mins still waiting 
neutral, the end reminder from well be tweeting from you should join us 
negative, stuck in philadelphia airport for hours due to maintenance dreading my flight back home disgusting 
negative, i ll sincerely regret dividend miles good things coming to an end
positive, thanks
neutral, reminder from well be tweeting from you should join us 
negative, thanks for telling me my flight was on time when the plane was broken you re an inferior airline 
neutral, @albertbreer just so you know who to complain to reminder from well be tweeting from 
neutral, for frequent flyer miles can we schedule interchangeably and get credit 
negative, i ve called to resolve my dividend miles issue for a week to no avail please advise asap 
negative, they finally answered they were rude and didn t help me at all 
neutral, nodon t leave me 
positive, #success made flight please thank the crew of great time recovery 
neutral, i haved andd embossed badges and patches superior to the ones you are currently using
positive, so far so good this week sav to clt boarded before the departure time first time in weeks perhaps an on time departure 
neutral, is this accurate safety guide shown no mpplayer usage during takeoff and landing
negative, i ve been on hold for mins and counting cause you charged my credit card for bag but provided no receipt and said error awful
neutral, i have a party of booked for a flight in aug at amhow can i find out how much it would cost to change to an earlier fl 
negative, still sitting here feels badly handled 
positive, lilly m in sju check in is fabulous 
negative, was just on hold with you all for two hours and then got hung up on oh my god 
negative, on phone hold for mins trying to speak to an agent can t change reservation online sigh #badcustomerexperience
positive, that s where we are now thank you 
negative, i ve been on a music hold for over a hour trying to get my aadvantage membership mergedcan someone please call me asap 
neutral, flight was full open middle seat did not want to sit there what is your policy 
neutral, my daughter candice and i are together with her baby 
negative, sorryi meant flight which was supposed to depart at now says what is the issue 
negative, how about moving my seats to where i bought them months ago this happens far too often 
negative, if you could change your name to and do what they do that d be awesome also this plane smells like onion rings 
positive, #tbt every day 
negative, what s the issue with flight from jax being delayed tonight 
negative, got rebooked sent to awrong gate traveled back to b for correct flight #tiredfrustrated
neutral, if you ve got room on an earlier flight homewhy charge me to get on it be the hero 
neutral, @cakendeath question is will he and his lady behave 
positive, on the dlsend ethan some new pants and some white revive laundry tabs he s a great guygood crewhe s justerrsingle 
negative, any updates on flight from philly to la been sitting at gate for close to hours
negative, will these prices be honored ive waited thishours on hold to make sure i can still get the prices i originally started
positive, thank you for refunding my bag fee i look forward to its return today i hope 
negative, what s happening with phl to lax now hr delay poor communication 
negative, will be stuck in phx overnight service is getting worse flying southwest from now on 
negative, left us had to stay on other flight until they got bags off this sucks had to run with a baby and bags 
negative, passed frustrated hours ago after being asked to get off the first plane i sat on for an hour 
positive, thank you
negative, another bad experience today frozen pipes on missing connection 
negative, of course yeahtravel has gotten harder ask other passengers if they will switch it s not the factit s the attitude 
neutral, skys r sunny air is cold i can t wait to get to #clt
negative, never imagined it would be so hard to spend money through us air stubbornly hoping someone will come back to the phone 
negative, found great prices thru us air for honeymoon website wont work and been on hold for more than a hour now after being told min
negative, we on on the flight from phf to clt at the terminal but can t get off plane yet need to get on iah flight 
negative, can we hold two seats for flight from phx to las as this delayed flight is not going to arrive on time
negative, i m a chairman who was inclass on both my flights today system cancelled flightled my tickets and kicked me out of
negative, i ve been on hold for minutes just to get a receipt i know you guys are busy but i think it s time to higher more staff 
positive, thanks for the hour layover in laicing on the cake at least your staff was courteous and helpful not #unreal
negative, yeah i have been expecting the same for hours 
negative, i wish i was flying cancelled flightled our flights tomorrow and never notified us #flyus #ripoff
negative, m phx im still on the plane waiting and waiting
negative, i m trying to merge my freq flyer accts but keep getting an error message and only a machine when calling the # provided help 
negative, our hold up now is the captain that was late flight his bag doesn t fit 
negative, that s it 
positive, thanks for slowing the inbound plane down so that we didn t need to worry about eyw being late flight great holz ahead cheers 
negative, they had to turn the seat cushions over and clean the area please explain this issue 
negative, my booked seat ended up being the last row which was labeled do no occupy had to play musical chairs for mins unacceptable 
negative, phone support rebooked but orig flt was late flight made it 
positive, kudos to your phone support and charlotte gate staff 
negative, let s say it s directly correlate flightd to the chance of a replacement case i know which would cost the airline less 
negative, i do to as i have an afternoon conference in las vegas and i would rather plan ahead than run thru the airport and then attempt
negative, @hirasmusbidragi will try now stuck on tarmac waiting on gatemay miss connection # 
negative, i thought about moving a lot of business over toobut first impressions count glad it was miles and not cash 
neutral, any chance of making # 
negative, on flight # delayed#connection help for flight # # helpemail
negative, hey just letting you know you re the worst fucking service i ve ever used thanks for nothing
neutral, flight us from @dublinairport to @phlairport passing over @loveloughneagh at ft this morning 
neutral, ok she is worried that something is wrong with the flight # and should she consider flying earlier
negative, part ofshe tried calling cust serv and the system hung up and her twice are you having system issues please advise 
negative, my wife is trying to check in for a flight tonight out of rsw website not allowingsaying must go to airportpart of
negative, lol thanks to you we had to switch to american
negative, preciate it but cant get off plane to speak w agent wont come on plane knoxville 
neutral, good ideas she is traveling today at airport need to petition faa regarding silly name change rule 
neutral, res went under her maiden name married no docs with maiden name henceproblem 
negative, just called reservations cannot change just able to put note on res problem is tsa 
negative, i m delayed in tys # likely gonna miss my connection in clt to cun gotta get there today can you help me 
negative, plz plz plz hold to eyw the phl clt is sooo late flight gonna miss the connection for @jabevan s#gth 
neutral, btwnot upset at usaiwayspromise 
negative, i hate you
negative, it is the same passengerjust her maiden name ended up as last name through online flight booking problems yesunderstand non transferable 
negative, understood and so does us airways getting through tsa is the problem
negative, i paid for my seat i expect to be able to use my full seat
negative, if a passenger is to large to put down the armrest and now is using part of my seatwhat is my recourse #nothappy 
negative, so i was just told i was coded as an upgrade i clearly purchased this seat with my miles and refuse to downgrade #ripoff
negative, the gate agent said it s booked in full sorry i had a ticket with aclass seat i will call customer service when i land 
negative, emptyclasschairman can t move up due silly award travel rule trumping common sense customer service fail again 
neutral, can they change to correct last name didreservations already but said can t change ticket name 
negative, you re the only airline that s not open sooner it s not a confidence booster 
negative, checked in last night @ airport by supervisor w boarding pass fora boarding today seat changed tof how does that happen 
negative, new problem had wrong last name on reservation which is airways fixed new can t get through tsa
negative, cardholder is flying we both have us airways and advantage cards which is more frustrating 
neutral, i received a brochure in the mail touting all the benefits of the advantage card with usa now merged baggage included
neutral, if i paid for ticket with advantage world executive carddo i pay baggage fees when flying us airways wife traveling now 
negative, this has been the worst trip with little to no customer service
negative, testing my patience this evening or shall i say morning we waited an hour at the gate for you to find a gate agent am
negative, flying from manchester international to philadelphia and getting emails about delaysno information about connecting flights 
negative, thank you to cincy just landed you should add frequent flyer miles to my account a longincredibly frustrating day 
negative, no other than being on my credit card statementi have not received anything from you and so i have no way to look it up myself 
negative, i waited on hold for too long i shouldn t have to wait on hold forever when i never received a confirm in theplace 
negative, been dealing wto solve the probs your team created your manchnh staff is clearly your c teambtw #notevenjv 
positive, will do
negative, unfortunately i doubt that the consistently subpar service will improve with the merger #usairways
positive, thank you we filled out a claim and hope to have the bags tomorrow 
negative, i didn t cancelled flight my flightyou did than you loved me to another flight and forgot my bags 
positive, done
negative, i was told my ticket expired but i never recvd any notice before it expired this sucks i paid k miles for the tckt
positive, captain on flight from phx phl at tonight was hilarious greetings from the pointy end of the airplane haha thanks 
neutral, just noticed that i don t believe i saw a confirmation for a flight i bought a few weeks ago def paid though#resend 
negative, worst customer service still not providing me an answer even after i drove back to clt airport been rudeunacceptable 
neutral, any plans to support #applepay on board i have the usairways mc and it would be nice to still use it if i forget the card 
neutral, got through on the phone usair cancelled flightled her return flights because she missed a flight on her way out they took care of it
negative, i have run out of patience we are sitting in a bus without air in front of plane and there is no communication from anyonemin
negative, delays cancelled flightlations a double layover and hours late flightr could i at least get extra dividend miles 
neutral, @annettenaif we appreciate the #shoutout for robertoyour confirmation code so we can forward your kind words sent
negative, i didn t take my original flight i was suppose to arrive last night than by pm today didn t get in til
negative, sitting for minutes on the runway at dcabecause your gates are full early landinglate flight flight 
negative, let us off this plane please go to a gate this is absurd 
neutral, will i get the full amount credited to my account for us airways credit 
negative, trips in a row with missing luggage just like last time i pay for baggage to be transported 
negative, lost our luggage #yay
neutral, i found a flight i want on @cheapoair is my aa advantage # applicable to earn miles on it since you re merging 
negative, really frustrating to be endlessly waiting at phl for a ground crew to taxi us in at pm at night why is this taking so long 
negative, thanks for calling me about my p redirected flight at p #smoothoperation
negative, its just a very bad customer service experience can you help
negative, i have been trying to reach dividend miles to extend my ticket for last days calls and i get a message to call back 
neutral, really 
negative, how does an airline misplace an airline attendant been at reagan airport sincepm to cincy is delayed trying to find her
negative, my flight finally arrived in charlotte they booked my luggage thru to lga but no room on flight for me what a mess
negative, been on hold for over an hourstill don t know where my bags arewon t refund me my flight it wasn t weather 
negative, no your not 
negative, my wife had flight changes due to weather now she cant checkin to her return flight and it fails is it possible usair cancelled flightled
positive, thank you for fixing my hour delay 
negative, yup minutes was my limit of waiting on hold so thanks for nothing
negative, this is more than having patience this is not acceptable
neutral, please follow me so i canyou about something
positive, flights in hrsi ve had the same flight attendant for of those flights freaky coincidence plus side she s great
positive, landed safely everything worked out 
negative, can you explain why i am on hold over an hour other than i m dumb and should be using a different airline #wth
negative, you used to have an evening flight dca dsm and an early am return now it s middle of the work day for both inconvenient 
negative, delays to the max
positive, on sunday can t wait see you then
negative, well this is #nofun#onhold trying to make #reservations #nothappy
negative, it shouldn t take longer to get to the gate than the flight itself takes minutes flying time minutes on runway so far
negative, attempting ckin for flight on all daysite unable to retrieve details called twice and disconnected 
negative, emailed them a week ago and still nothing 
negative, i would be willing to pay anything to change a flight @allegianttravel does not help 
negative, yeah you guys just told me to call the website that i booked from i booked on your website unacceptable
negative, still waiting captain reports he s called times to get ground crew and still sitting on runway #evenlate flightr
negative, is the real mvp for holding up the flight connecting philly to tampa 
positive, finally rectified my flight situation thanks again
neutral, so what is the difference between cancelled flighting and reflight booking problems will that help me avoid a change fee 
positive, on time today and from phl nice work #thereisafirstforeverything
negative, you have most likely lost my business terrible experience too many times stuck on tarmac and last min cancelled flightled flights #done
negative, i have been doing that all day can t find my bag anywhere bc they re saying it was never scannedtechnically never left lax 
negative, why no ground crew at dca when we re already late flight arriving #evenlate flightr
negative, being told tough break and this is how it is is unacceptable you can t even tell me when my bags will be here
positive, ice cream up front solid
positive, shout out to the pilots and fc attendant eliz of us super strong crosswinds during landing eliz did a super job throughout
negative, now telling me i don t have the correct tag for my luggage my luggage apparently is not in la or charlotte this is not ok 
negative, your software is broken call customer support is not the fix like i said earlieryell at your developers 
negative, it s not double booked i spoke with cs and we ve got a plan to fix this it s still an amateur mistake that should never happen 
neutral, is there nothing that can be done online to help i bought these as a birthday presentjust trying to be able to afford a change 
negative, hey guysdue to some horrible customer service issues is there any way i can get a checked bag credit 
negative, delayed days for weather and on top i got yelled at for being late flight when i was not notified of the time change #welldone
negative, not a great experience for my first time flying us airways going forward i ll probably be taking my business elsewhere 
negative, loosing a lot of business by using barclays i cant believe that you cant apply for a card if you live in iowa 
negative, i was re accommodated for my dsm flight tonight after a delay from myrtle beach now the flight to dsm is back on for tonight 
negative, so far i ve gotten six different answers
negative, oh certainly and now i have two pending transactions on my bank account really happy that i was charged double 
neutral, i got an email asking me to checkin tmrw for a flight i meant to book for can someone please help @wallstslumlord @pkg
negative, what s going on i ve been hearing a not friendly please wait on repeat while i m on holdbeing transferred to idk where 
negative, the captain turned off the seat belt sign so people can get up and walk around that s not good 
negative, i m sorry as well it s been hrs without my bag and i can t get a straight answers i m on call #for today 
negative, ya ll need to work on your online checkout system two bank transactions for one ticket is bush league yell at your devs 
negative, i wish we were on our way now there s a problem w de icing three hour delay so farsill not sure if we ll be taking off 
negative, if you could have ran your usexpress psa worth a damn i wouldn t be stuck in horrible clt now 
negative, you run a piece of shit airline thanks for ruining aa
negative, @annettenaif we appreciate the #shoutout for robertoconfirmation code so we can forward ur kind words confirmation code 
negative, finally back on board door was closed only to be reopened because we need fuel you think someone wd have thought of it earlier
negative, secondary screeningsa piece of the plane missing anything you want to tell us 
negative, sitting on tarmac in #pit for min no announcement just sitting 
neutral, my tsa precheck isn t showing up on my boarding pass for my flight tomorrow help #usairways #tsaprecheck
negative, i appreciate that you actually monitor twitterso please pass along my feedback i ve tried calling about times in days
negative, cant help but be frustrated after an hour call with u ends up with a disconnection and no answers especially as div pref member 
negative, i don t think i ve ever had a us airways flight that went smoothly 
negative, please improve your phone system going through multiple promptsmenus just to be told to call back late flightr = major fail
negative, once again your service leaves a lot to be desired flight here earlybut short staffing means we wait on tarmac thanks 
negative, the late flightr flight to charleston is leaving before the flight scheduled earlier that s so wrong
negative, i m delayed in chawill miss my connection in charlotte for lga not good 
negative, we did it added about seven hours to our day so far want to take odds on our bags being on the carousel in kc #notcool
negative, @marciaveronicaa she missed her uncle s funeraland you hope they can find another flight that s very considerate of you 
